#ethertypes
0x0800	IPv4
0x0806	ARP
0x0842	Wake-on-LAN
0x22F0	AVTP
0x22F3	IETF TRILL Protocol
0x22EA	Stream Reservation Protocol
0x6002	DEC MOP RC
0x6003	DECnet Phase IV, DNA Routing
0x6004	DEC LAT
0x8035	RARP
0x809B	Ethertalk
0x80F3	AARP
0x8100	VLAN-tagged frame (IEEE 802.1Q) and Shortest Path Bridging IEEE 802.1aq with NNI compatibility
0x8102	SLPP
0x8103	VLACP
0x8137	IPX
0x8204	QNX Qnet
0x86DD	IPv6
0x8808	Ethernet flow control
0x8809	LACP
0x8819	CobraNet
0x8847	MPLS unicast
0x8848	MPLS multicast
0x8863	PPPoE Discovery Stage
0x8864	PPPoE Session Stage
0x887B	HomePlug 1.0 MME
0x888E	IEEE 802.1X
0x8892	PROFINET Protocol
0x889A	SCSI over Ethernet
0x88A2	ATA over Ethernet
0x88A4	EtherCAT Protocol
0x88A8	Service VLAN tag identifier (S-Tag) on Q-in-Q tunnel.
0x88AB	Ethernet Powerlink[citation needed]
0x88B8	GOOSE (Generic Object Oriented Substation event)
0x88B9	GSE (Generic Substation Events) Management Services
0x88BA	SV (Sampled Value Transmission)
0x88BF	MikroTik RoMON (unofficial)
0x88CC	Link Layer Discovery Protocol (LLDP)
0x88CD	SERCOS III
0x88E3	Media Redundancy Protocol (IEC62439-2)
0x88E5	MAC security (IEEE 802.1AE)
0x88E7	Provider Backbone Bridges (PBB) (IEEE 802.1ah)
0x88F7	Precision Time Protocol (PTP) over IEEE 802.3 Ethernet
0x88F8	NC-SI
0x88FB	Parallel Redundancy Protocol (PRP)
0x8902	IEEE 802.1ag Connectivity Fault Management (CFM) Protocol / ITU-T Recommendation Y.1731 (OAM)
0x8906	Fibre Channel over Ethernet (FCoE)
0x8914	FCoE Initialization Protocol
0x8915	RDMA over Converged Ethernet (RoCE)
0x891D	TTEthernet Protocol Control Frame (TTE)
0x893a	1905.1 IEEE Protocol
0x892F	High-availability Seamless Redundancy (HSR)
0x9000	Ethernet Configuration Testing Protocol
0x9100	VLAN-tagged (IEEE 802.1Q) frame with double tagging
0xF1C1	Redundancy Tag (IEEE 802.1CB Frame Replication and Elimination for Reliability)
#IEEEs
0xffff	IEEE 802.3 RAW
0xaaaa	IEEE 802.3 LLC + SNAP
0	IEEE 802.3 LLC
#LSAPs
0x00	Null LSAP
0x02	Individual LLC Sublayer Mgt
0x03	Group LLC Sublayer Mgt
0x04	SNA Path Control (individual)
0x05	SNA Path Control (group)
0x06	Reserved for DoD IP
0x0E	ProWay-LAN
0x18	Texas Instruments
0x42	IEEE 802.1 Bridge Spanning Tree Protocol
0x4E	EIA-RS 511
0x5E	ISI IP
0x7E	ISO 8208 (X.25 over IEEE 802.2 Type LLC)
0x80	Xerox Network Systems (XNS)
0x82	BACnet/Ethernet
0x86	Nestar
0x8E	ProWay-LAN (IEC 955)
0x98	ARPANET Address Resolution Protocol (ARP)
0xA6	RDE (route determination entity)
0xAA	SNAP Extension Used
0xBC	Banyan Vines
0xE0	IPX
0xF0	IBM NetBIOS
0xF4	IBM LAN Management (individual)
0xF5	IBM LAN Management (group)
0xF8	IBM Remote Program Load (RPL)
0xFA	Ungermann-Bass
0xFE	OSI protocols ISO CLNS IS 8473
0xFF	Global DSAP (broadcast to all)
#ARPs
1	Request
2	Reply
#IPv4s
1	ICMP
2	IGMP
6	TCP
9	IGRP
11	UDP
2F	GRE
32	ESP
33	AH
39	SKIP
58	EIGRP
59	OSPF
73	L2TP
#ICMPs
0	Echo Reply
3	Destination Unreachable
4	Source Quench
5	Redirect
8	Echo
9 	Router Advertisement
a	Router Selection
b	Time exceeded
c	Parameter Problem
d	Timestamp
e	Timestamp Reply
f	Infomation Request
10	Information Reply
11	Address Mask Request
12	Address Mask Reply
1E	Traceroute
#TCPs
7	ECHO
19	CHARGEN
20	FTP-DATA
21	FTP-CONTROL
22	SSH
23	TELNET
25	SMTP
53	DOMAIN
79	FINGER
80	HTTP
110	POP3
111	NNTP
#UDPs
7	ECHO
19	CHARGEN
37	TIME
53	DOMAIN
67	BOOTPS
68	BOOTPC
69	TFTP
137	NETBIOS-NS
138	NETBIOS-DGM
161	SNMP
162	SNMP-TRAP
500	ISAKMP
514	SYSLOG
520	RIP
#END

	
